name,artist,link
Seven Goblins,Masayoshi Takanaka,https://www.youtube.com/watch?v=sRY9o8VNoTE
"Montiño ","Grisha Goryachev ",https://www.youtube.com/watch?v=yamRW04n8nM
Corn-Flakes,Klaus Wunderlich,https://www.youtube.com/watch?v=SuU3XnERQbw
Tru Dat,Puppets of Chaos,https://www.youtube.com/watch?v=AqxBDN-cv08
The Doll's Song,Offenbach,https://www.youtube.com/watch?v=3dlGDNoliH0
Dorug-Doyum,Алексей Ховалыг,https://www.youtube.com/watch?v=IrjNHGYt__w
Kargyraa,Алексей Ховалыг,https://www.youtube.com/watch?v=ZZLR4UrToqA
Palenque,Paco de Lucia,https://www.youtube.com/watch?v=9wpJKkfIvsc
School,Supertramp,https://www.youtube.com/watch?v=GOuxb6t1JlM
Trilogy Suite op. 5,Yngwie Malmsteen,https://www.youtube.com/watch?v=b61ixJ2v_8A
Strange Kind of Woman,Deep Purple,https://www.youtube.com/watch?v=rcdkhKZwvKI
Twenty Nine,Christmas Island,https://www.youtube.com/watch?v=yvsu90uXWuY
The Mad Mad Moonlight,Steve Harley,https://www.youtube.com/watch?v=JMZrE_eiZeM
Gnomenreigen,Liszt,https://www.youtube.com/watch?v=4H0VObXXA7U
Leather Book,Lucas,https://www.youtube.com/watch?v=BeLBD1utHGk